player_id,player_name,elo_rating
111460,Quentin Halys,1602.47
106378,Kyle Edmund,1602.27
106331,Christopher Oconnell,1601.62
101885,Wayne Arthurs,1601.53
105985,Darian King,1600.59
208502,Dominic Stricker,1600.57
104332,Philipp Petzschner,1600.21
106432,Borna Coric,1600.09
102259,Jerome Golmard,1599.4
111456,Mackenzie Mcdonald,1598.74
105357,John Millman,1597.87
126127,Benjamin Bonzi,1597.42
207686,Alexander Shevchenko,1596.41
104976,Ryan Sweeting,1596.41
105732,Pierre Hugues Herbert,1596.18
101991,Mauricio Hadad,1596.03
207352,Bu Yunchaokete,1596.01
104259,Philipp Kohlschreiber,1595.49
105992,Ryan Harrison,1595.28
104898,Robin Haase,1595.22
102110,Daniel Nestor,1594.84
103325,Wesley Moodie,1594.33
101404,Thomas Muster,1593.56
103581,Flavio Saretta,1593.55
102703,Hyung Taik Lee,1593.08
103656,Albert Montanes,1592.07
205734,Thiago Seyboth Wild,1592.03
104273,Edouard Roger-Vasselin,1591.91
106058,Jack Sock,1591.59
200267,Zizou Bergs,1591.4
100955,Yahiya Doumbia,1589.92
105936,Filip Krajinovic,1589.12
208014,Rinky Hijikata,1588.74
200059,Yibing Wu,1588.55
126952,Soon Woo Kwon,1587.79
101613,Malivai Washington,1586.35
106175,Ricardo Rodriguez,1585.49
103812,Victor Hanescu,1585.41
104926,Fabio Fognini,1585.17
111794,Kamil Majchrzak,1585.12
106298,Lucas Pouille,1584.81
104327,Steve Darcis,1584.51
106234,Aslan Karatsev,1583.33
103990,Tommy Robredo,1582.63
108532,Worapol Thongkamcho,1582.62
102369,Julien Boutter,1582.48
101964,Goran Ivanisevic,1581.97
144895,Corentin Moutet,1581.78
103789,Irakli Labadze,1580.75
103504,Febi Widhiyanto,1579.98
102035,Jonas Bjorkman,1579.84
104534,Dudi Sela,1579.4
106329,Thiago Monteiro,1579.29
105173,Adrian Mannarino,1578.15
106071,Bernard Tomic,1578.02
200436,Zsombor Piros,1576.69
104897,Matthias Bachinger,1576.06
124116,Sebastian Ofner,1575.62
103193,Peter Wessels,1575.4
103084,Guillermo Canas,1575.27
101191,Richey Reneberg,1575.17
104586,Lukas Rosol,1575.07
102029,Filip Dewulf,1574.81
101318,Javier Frana,1574.81
