player_id,player_name,elo_rating
206173,Jannik Sinner,2217.52
104925,Novak Djokovic,2105.21
104417,Robin Soderling,2045.79
207989,Carlos Alcaraz,2038.47
103819,Roger Federer,2020.53
100644,Alexander Zverev,1993.23
126203,Taylor Fritz,1957.57
105223,Juan Martin del Potro,1935.71
106401,Nick Kyrgios,1934.2
106421,Daniil Medvedev,1922.79
102158,Patrick Rafter,1920.47
207733,Jack Draper,1898.52
105777,Grigor Dimitrov,1886.35
200282,Alex De Minaur,1883.11
104745,Rafael Nadal,1878.42
208029,Holger Rune,1872.48
101736,Andre Agassi,1863.39
104053,Andy Roddick,1861.9
200624,Sebastian Korda,1859.99
101948,Pete Sampras,1857.68
126205,Tommy Paul,1844.24
126774,Stefanos Tsitsipas,1841.93
126610,Matteo Berrettini,1837.16
128034,Hubert Hurkacz,1836.77
111575,Karen Khachanov,1832.35
200005,Ugo Humbert,1828.24
104339,Mario Ancic,1793.03
210097,Ben Shelton,1791.52
207518,Lorenzo Musetti,1790.45
207830,Tomas Machac,1790.21
200615,Alexei Popyrin,1788.26
101414,Boris Becker,1783.51
102765,Nicolas Escude,1782.7
103900,David Nalbandian,1782.51
104792,Gael Monfils,1778.42
103888,Mardy Fish,1776.66
111442,Jordan Thompson,1776.5
105683,Milos Raonic,1776.17
209950,Arthur Fils,1775.52
208103,Jiri Lehecka,1772.77
105526,Jan Lennard Struff,1772.75
101222,Stefan Edberg,1768.37
126207,Frances Tiafoe,1768.06
134770,Casper Ruud,1763.42
105453,Kei Nishikori,1761.89
207925,Flavio Cobolli,1759.87
104607,Tomas Berdych,1759.62
200000,Felix Auger Aliassime,1757.49
133430,Denis Shapovalov,1756.43
105238,Alexandr Dolgopolov,1750.9
126094,Andrey Rublev,1748.21
134868,Tallon Griekspoor,1746.06
103285,Radek Stepanek,1737.52
111202,Hyeon Chung,1737.48
101529,Michael Stich,1734.69
202103,Francisco Cerundolo,1733.75
202385,Jenson Brooksby,1733.46
101990,Richard Krajicek,1729.74
105138,Roberto Bautista Agut,1726.47
105676,David Goffin,1723.57
103498,Marat Safin,1720.39
103507,Juan Carlos Ferrero,1718.81
106423,Thanasi Kokkinakis,1716.1
206909,Brandon Nakashima,1711.28
103970,David Ferrer,1710.03
105807,Pablo Carreno Busta,1708.95
210506,Alex Michelsen,1705.42
103344,Ivan Ljubicic,1705.28
106218,Marcos Giron,1704.3
103602,Fernando Gonzalez,1701.39
105668,Jerzy Janowicz,1701.18
208286,Matteo Arnaldi,1700.06
101793,Jim Courier,1699.63
102701,Marcelo Rios,1697.24
210150,Jakub Mensik,1694.7
103898,Julien Benneteau,1693.11
102882,Mark Philippoussis,1692.53
104338,Juan Monaco,1691.02
103017,Nicolas Kiefer,1690.66
104026,Joachim Johansson,1690.64
111815,Cameron Norrie,1687.82
208659,Giovanni Mpetshi Perricard,1687.43
104597,Nicolas Almagro,1686.37
144684,Alex Molcan,1685.88
200325,Emil Ruusuvuori,1682.81
105227,Marin Cilic,1682.66
104871,Jeremy Chardy,1678.33
103781,Jurgen Melzer,1675.04
105870,Yannick Hanfmann,1674.85
126128,Roman Safiullin,1672.83
102338,Yevgeny Kafelnikov,1671.88
144869,Tomas Martin Etcheverry,1670.66
103917,Nicolas Mahut,1669.5
102450,Tim Henman,1668.81
101320,Magnus Gustafsson,1668.55
106415,Yoshihito Nishioka,1666.38
209098,Hamad Medjedovic,1666.32
102562,Jiri Novak,1666.14
126214,Alejandro Tabilo,1665.74
102419,Christophe Van Garsse,1665.66
102863,Takao Suzuki,1663.7
126846,Aleksandar Vukic,1662.62
200221,Alejandro Davidovich Fokina,1658.94
103566,Michael Llodra,1658.1
144707,Mikael Ymer,1657.48
200175,Miomir Kecmanovic,1656.76
124187,Reilly Opelka,1655.36
126239,Arthur Rinderknech,1654.12
136440,Dominik Koepfer,1652.83
105656,Marcelo Arevalo,1651.6
106148,Roberto Carballes Baena,1650.53
111581,Michael Mmoh,1648.76
122298,Botic Van De Zandschulp,1648.4
106426,Cristian Garin,1647.71
105916,Marton Fucsovics,1647.52
127339,Borna Gojo,1646.26
101962,Younes El Aynaoui,1645.55
105577,Vasek Pospisil,1644.79
103828,Jean Julien Rojer,1644.61
102344,Karol Kucera,1644.57
103264,Mariano Puerta,1644.07
132686,Nuno Borges,1644.06
101084,Jakob Hlasek,1643.64
101727,Jason Stoltenberg,1643.24
101774,Todd Martin,1642.98
102563,Thomas Johansson,1642.32
103758,Taylor Dent,1641.95
103401,Jan Hernych,1640.46
104076,Jose Acasuso,1639.91
104731,Kevin Anderson,1639.17
